"","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023","2023/2024","2023/2024","2023/2024","2024/2025","2024/2025","2024/2025"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Värmland","37.1 (33-42)","40.8 (35-47)","78 (71-85)","40.1 (36-45)","47.4 (42-53)","87.4 (80-95)","46.1 (41-51)","41.5 (38-45)","87.7 (82-94)","47.2 (41-54)","37.4 (32-44)","84.6 (76-94)","41.6 (38-46)","40.4 (36-45)","82 (77-88)","36.8 (31-43)","41.5 (35-49)","78.3 (69-88)","51.8 (44-60)","55.2 (49-62)","107 (97-117)","47.7 (41-55)","54.2 (50-59)","101.8 (94-111)","40.4 (34-47)","32.5 (28-38)","72.9 (65-81)","20.9 (16-27)","27.4 (22-34)","48.3 (41-57)"
"Västmanland","6.3 (4-10)","8.4 (6-12)","14.7 (11-20)","11.6 (10-14)","14.4 (12-17)","25.9 (23-30)","11.7 (10-14)","14.6 (12-17)","26.3 (23-30)","8.1 (5-12)","7.5 (5-11)","15.6 (11-21)","14.2 (11-17)","13.2 (10-17)","27.4 (23-32)","8.4 (5-12)","10.1 (7-14)","18.5 (14-24)","8.9 (6-12)","14.8 (11-19)","23.7 (19-29)","13.5 (11-16)","14.1 (12-17)","27.6 (24-32)","12.6 (10-16)","11.1 (9-13)","23.8 (20-28)","15 (12-18)","13 (10-16)","28 (24-32)"
"VästraGötaland","1.7 (0-4)","6.8 (4-11)","8.5 (5-13)","2.4 (0-5)","3.2 (1-6)","5.7 (2-10)","4.1 (2-7)","4.6 (2-7)","8.7 (5-13)","6.7 (4-10)","6.9 (4-11)","13.5 (9-19)","2.6 (0-5)","2.7 (1-5)","5.3 (3-9)","7.1 (4-11)","11.5 (8-16)","18.7 (14-24)","8.7 (5-12)","10.6 (7-15)","19.3 (14-25)","16.4 (13-20)","15.6 (12-19)","31.9 (27-37)","27.1 (24-31)","18 (15-22)","45.1 (40-51)","23.7 (21-27)","16.8 (14-21)","40.5 (36-45)"
"Södre","3.9 (0-10)","11.5 (5-19)","15.4 (8-25)","3.5 (1-7)","8.9 (6-14)","12.4 (8-18)","5.1 (3-8)","15.5 (14-18)","20.6 (18-25)","6.2 (3-11)","7.2 (4-12)","13.4 (8-20)","11.1 (9-14)","10.5 (8-13)","21.6 (18-25)","16.7 (13-21)","17.1 (12-23)","33.8 (28-41)","22.3 (18-27)","26.2 (21-32)","48.5 (42-56)","32.7 (29-37)","41.6 (38-46)","74.3 (69-80)","32.9 (29-38)","44 (40-49)","76.9 (71-83)","31.5 (29-35)","37.5 (34-42)","69.1 (64-75)"
"Blekinge","0.1 (0-1)","0.5 (0-2)","0.6 (0-2)","0.1 (0-1)","1.1 (1-2)","1.2 (1-2)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","0.1 (0-1)","0.6 (0-3)","0.7 (0-3)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)","0.4 (0-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","1.1 (0-2)","0.4 (0-2)","1.5 (1-3)","0.2 (0-1)","0.5 (0-2)","0.7 (0-3)","0.2 (0-1)","1 (0-2)","1.2 (0-3)","1.2 (0-2)","1.2 (0-3)","2.4 (1-4)","1 (0-2)","1.9 (1-4)","2.9 (1-5)"
"Jönköping","0.5 (0-2)","2.2 (1-5)","2.7 (1-6)","0.3 (0-2)","0.7 (0-3)","1 (0-3)","0.3 (0-2)","0.2 (0-1)","0.5 (0-2)","0.6 (0-2)","0.6 (0-2)","1.2 (0-4)","0.2 (0-1)","1.2 (0-3)","1.4 (0-3)","0.8 (0-3)","1.9 (1-4)","2.7 (1-6)","3.9 (2-6)","4.2 (2-7)","8.1 (5-12)","6.4 (4-9)","7.6 (5-10)","14 (11-17)","5 (3-8)","5.6 (3-8)","10.6 (7-14)","5.3 (4-7)","5.3 (4-8)","10.6 (8-14)"
"Kalmar","0.4 (0-2)","1.2 (0-4)","1.6 (0-5)","0.2 (0-1)","0.4 (0-2)","0.6 (0-2)","0.2 (0-1)","0.9 (0-2)","1.1 (0-2)","0.3 (0-2)","1.3 (1-3)","1.6 (1-3)","0.1 (0-1)","0.4 (0-1)","0.5 (0-2)","0.2 (0-1)","1.5 (1-3)","1.7 (1-4)","0.4 (0-2)","0.7 (0-3)","1.2 (0-4)","0.4 (0-2)","0.4 (0-2)","0.8 (0-3)","0.5 (0-2)","0.6 (0-2)","1.1 (0-3)","0.5 (0-2)","1.1 (0-3)","1.6 (0-4)"
"Kronoberg","0.4 (0-2)","1.6 (0-4)","2 (0-5)","0.2 (0-1)","1.4 (1-3)","1.6 (1-3)","0.2 (0-1)","0.4 (0-2)","0.5 (0-2)","0.3 (0-2)","0.4 (0-2)","0.7 (0-3)","0.1 (0-1)","0.6 (0-2)","0.8 (0-2)","0.2 (0-1)","1.6 (1-3)","1.8 (1-4)","0.3 (0-2)","1.7 (1-4)","2 (1-4)","1 (0-2)","2.3 (1-4)","3.3 (2-5)","1.2 (0-3)","4.6 (3-7)","5.9 (4-9)","3.1 (2-5)","2.5 (0-5)","5.6 (3-8)"
"Östergötland","0.8 (0-3)","1.8 (0-5)","2.7 (0-6)","0.6 (0-2)","2 (1-4)","2.6 (1-5)","1.4 (1-3)","2.2 (2-3)","3.6 (3-6)","2.2 (1-5)","1.9 (1-4)","4.1 (2-7)","6.7 (6-8)","3.3 (3-5)","10 (9-12)","4.9 (4-7)","3.4 (2-6)","8.3 (6-11)","5.9 (4-8)","6.2 (4-9)","12.2 (9-16)","3.7 (2-6)","6.8 (6-9)","10.5 (9-13)","6.3 (5-9)","4.4 (3-7)","10.7 (8-14)","4 (3-6)","4.8 (4-7)","8.8 (7-11)"
"Skåne","0.4 (0-2)","1.7 (0-5)","2.1 (0-5)","0.2 (0-1)","1.4 (1-3)","1.6 (1-3)","0.1 (0-1)","1.9 (1-3)","2.1 (1-3)","0.2 (0-2)","0.4 (0-2)","0.6 (0-3)","0.2 (0-1)","0.2 (0-2)","0.4 (0-2)","1.2 (1-2)","1.6 (1-3)","2.8 (2-5)","2.3 (2-4)","2.6 (2-5)","5 (4-7)","6.2 (6-7)","6.2 (6-7)","12.4 (12-14)","6.3 (6-8)","11.8 (10-14)","18.1 (16-21)","6.2 (6-7)","8 (7-10)","14.2 (13-16)"
"Södermanland","1.2 (0-4)","1.8 (0-5)","3 (0-7)","1.9 (1-4)","1.7 (1-4)","3.6 (2-6)","2.7 (2-4)","9.7 (9-11)","12.5 (11-15)","2.4 (1-5)","2.3 (1-5)","4.7 (2-8)","3.6 (3-5)","4.4 (3-6)","8.1 (6-10)","8.2 (6-11)","6.7 (4-10)","14.8 (11-19)","9.2 (7-12)","10 (7-13)","19.2 (16-23)","14.9 (12-18)","17.3 (15-20)","32.2 (29-36)","12.3 (11-15)","15.6 (14-17)","27.9 (26-31)","11.3 (10-13)","13.8 (12-16)","25.1 (23-28)"
