"","2013/2014","2013/2014","2013/2014","2014/2015","2014/2015","2014/2015","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Västmanland","5.6 (3-9)","11.4 (7-17)","16.9 (12-23)","7 (5-10)","12.7 (9-18)","19.7 (15-25)","5.7 (3-9)","8.6 (6-12)","14.3 (10-19)","11.9 (10-14)","14 (12-17)","25.9 (23-30)","11.9 (10-14)","14.7 (12-18)","26.6 (23-30)","8.4 (5-12)","8.7 (5-13)","17.1 (12-23)","14.4 (12-17)","12.7 (9-16)","27.1 (23-32)","9.6 (6-13)","10.3 (7-14)","19.9 (15-25)","10.2 (7-14)","13 (9-17)","23.1 (18-29)"
"VästraGötaland","6.1 (3-10)","7.6 (3-13)","13.6 (8-20)","7.1 (4-11)","8.4 (5-13)","15.5 (11-21)","1.5 (0-4)","5.8 (3-9)","7.3 (4-11)","2 (0-5)","2.8 (1-6)","4.7 (2-9)","3.3 (1-6)","4.3 (2-7)","7.7 (4-11)","5.5 (3-9)","5.4 (3-8)","10.9 (7-15)","2.8 (1-5)","2.5 (1-4)","5.3 (3-8)","6.7 (4-10)","10.1 (7-14)","16.8 (12-22)","7.4 (4-11)","9.1 (6-13)","16.5 (12-22)"
"Søndre","5.1 (1-10)","15.5 (8-25)","20.6 (12-31)","4.6 (1-9)","10 (5-16)","14.6 (8-22)","2.3 (0-6)","6.3 (3-11)","8.6 (4-15)","2.9 (1-6)","7.2 (5-10)","10.1 (7-14)","4.3 (3-7)","15.1 (14-17)","19.4 (17-22)","5.7 (3-10)","6 (3-10)","11.7 (7-17)","10.7 (9-13)","10 (8-12)","20.6 (18-24)","16.1 (13-20)","14.9 (11-20)","31 (26-37)","20 (16-25)","23.4 (19-28)","43.4 (38-50)"
"Östergötland","0.8 (0-3)","2.4 (0-6)","3.2 (0-7)","0.9 (0-3)","1.3 (0-4)","2.2 (0-5)","0.4 (0-2)","0.8 (0-3)","1.2 (0-4)","0.5 (0-2)","1.6 (1-4)","2.1 (1-4)","1.2 (1-2)","2.1 (2-3)","3.3 (3-5)","2 (1-4)","1.6 (1-3)","3.6 (2-6)","6.6 (6-8)","3.2 (3-4)","9.8 (9-11)","4.5 (4-6)","3 (2-5)","7.5 (6-10)","4.2 (3-6)","5.8 (5-8)","10.1 (8-13)"
"Blekinge","0.1 (0-1)","0.5 (0-2)","0.6 (0-2)","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0 (0-1)","1.1 (1-2)","1.1 (1-2)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-0)","0.1 (0-1)","0.2 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","0.4 (0-2)","0.9 (0-3)","1.3 (0-4)","0.3 (0-2)","0.7 (0-3)","1 (0-3)","0.1 (0-1)","0.3 (0-2)","0.4 (0-2)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","1.1 (0-2)","0.2 (0-1)","1.3 (1-3)","0.2 (0-1)","0.4 (0-2)","0.6 (0-2)"
"Jönköping","0.6 (0-3)","2.9 (1-6)","3.5 (1-7)","1 (0-3)","2.2 (1-5)","3.1 (1-6)","0.3 (0-2)","1.6 (1-4)","1.9 (1-4)","0.3 (0-2)","0.4 (0-2)","0.6 (0-3)","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)","0.5 (0-2)","0.4 (0-2)","0.9 (0-3)","0.1 (0-1)","1.2 (0-2)","1.3 (0-3)","0.7 (0-2)","1.5 (1-3)","2.2 (1-5)","4.3 (2-7)","4.1 (2-6)","8.4 (5-12)"
"Kalmar","0.5 (0-2)","1.7 (0-5)","2.2 (0-6)","0.6 (0-2)","0.8 (0-3)","1.4 (0-4)","0.2 (0-1)","0.4 (0-2)","0.7 (0-3)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0.9 (0-2)","1 (0-2)","0.3 (0-2)","1.2 (1-2)","1.5 (1-3)","0.1 (0-1)","0.4 (0-1)","0.4 (0-2)","0.1 (0-1)","1.3 (1-3)","1.4 (1-3)","0.2 (0-1)","0.3 (0-2)","0.6 (0-2)"
"Kronoberg","0.4 (0-2)","2.2 (0-5)","2.6 (0-6)","0.5 (0-2)","1.9 (0-4)","2.4 (0-5)","0.3 (0-2)","1 (0-3)","1.3 (0-4)","0.2 (0-1)","1.2 (1-2)","1.3 (1-3)","0.1 (0-1)","0.3 (0-1)","0.4 (0-2)","0.4 (0-2)","0.2 (0-1)","0.6 (0-2)","0.1 (0-1)","0.5 (0-2)","0.6 (0-2)","0.2 (0-1)","1.3 (1-3)","1.5 (1-3)","0.3 (0-2)","1.4 (1-3)","1.7 (1-4)"
"Södermanland","1.7 (0-4)","2.2 (0-5)","3.9 (1-8)","0.7 (0-3)","1.3 (0-4)","2 (0-5)","0.7 (0-3)","1.1 (0-3)","1.7 (0-5)","1.6 (1-3)","1.4 (1-3)","3 (2-5)","2.5 (2-4)","9.7 (9-11)","12.2 (11-14)","2 (1-4)","2.2 (1-4)","4.3 (2-7)","3.5 (3-5)","4.4 (3-6)","7.9 (6-10)","8.2 (6-11)","6.2 (4-10)","14.4 (11-18)","9.2 (7-11)","8.9 (7-12)","18.2 (15-22)"
"Skåne","0.5 (0-2)","2.8 (0-6)","3.3 (1-7)","0.4 (0-2)","1.5 (0-4)","1.9 (0-5)","0.2 (0-1)","0.8 (0-3)","1.1 (0-3)","0.2 (0-1)","1.2 (1-2)","1.3 (1-3)","0.1 (0-1)","1.9 (1-3)","2 (1-3)","0.3 (0-2)","0.2 (0-1)","0.5 (0-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-2)","1.3 (1-3)","1.3 (1-3)","2.6 (2-4)","1.3 (1-3)","2.4 (2-4)","3.7 (3-6)"
